1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	64
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
0	J	109
4	W	115
0	R	115
4	J	209
4	R	209
0	J	209
4	W	209
0	R	209
4	J	230
4	R	230
0	J	230
4	W	230
0	R	230
4	J	233
4	R	233
0	J	233
4	W	233
0	R	233
4	J	252
4	R	252
0	J	252
4	W	252
0	R	252
4	J	278
4	R	278
0	J	278
4	W	278
0	R	278
4	J	292
4	R	292
0	J	292
4	W	292
0	R	292
4	J	378
4	R	378
0	J	378
4	W	378
0	R	378
4	J	406
4	R	406
0	J	406
4	W	406
0	R	406
4	J	558
4	R	558
0	J	558
4	W	558
0	R	558
4	J	568
4	R	568
0	J	568
4	W	568
0	R	568
4	J	578
4	R	579
0	J	579
4	W	579
0	R	579
4	J	596
4	R	596
0	J	596
4	W	596
0	R	596
4	J	633
4	R	633
0	J	633
4	W	633
0	R	633
4	J	660
4	R	660
0	J	660
4	W	660
0	R	660
4	J	2104
4	R	2104
0	J	2104
4	W	2104
0	R	2104
4	J	2126
4	R	2126
0	J	2126
4	W	2126
0	R	2126
4	J	2151
4	R	2151
0	J	2151
4	W	2151
0	R	2151
4	J	2178
4	R	2178
0	J	2178
4	J	2178
0	J	2178
4	W	2178
0	R	2178
4	J	2201
4	R	2201
0	J	2201
4	W	2201
0	R	2201
4	J	2222
4	R	2222
0	J	2222
4	W	2222
0	R	2222
4	J	2243
4	R	2243
0	J	2243
4	W	2243
0	R	2243
4	J	2251
4	R	2251
0	J	2251
4	W	2251
0	R	2251
4	J	2280
4	R	2280
0	J	2280
4	W	2280
0	R	2280
4	J	2318
4	R	2318
0	J	2318
4	W	2318
0	R	2318
4	J	2337
4	R	2337
0	J	2337
4	W	2337
0	R	2337
4	J	2360
4	R	2361
0	J	2361
4	W	2361
0	R	2361
4	J	2374
4	R	2374
0	J	2374
4	W	2374
0	R	2374
4	J	2424
4	R	2424
0	J	2424
4	W	2424
0	R	2424
4	J	2445
4	R	2446
0	J	2446
4	W	2446
0	R	2446
4	J	2453
4	R	2453
0	J	2453
4	W	2454
0	R	2454
4	J	2471
4	R	2471
0	J	2471
4	W	2471
0	R	2471
4	J	2492
4	R	2492
0	J	2492
4	W	2492
0	R	2492
4	J	2522
4	R	2522
0	J	2522
4	W	2523
0	R	2523
4	J	2550
4	R	2550
0	J	2550
4	W	2550
0	R	2550
4	J	2576
4	R	2576
0	J	2576
4	W	2576
0	R	2576
4	J	2599
4	R	2599
0	J	2599
4	W	2599
0	R	2599
4	J	2621
4	R	2621
0	J	2621
4	W	2621
0	R	2622
4	J	2643
4	R	2643
0	J	2643
4	W	2643
0	R	2643
4	J	2668
4	R	2668
0	J	2668
4	W	2668
0	R	2668
4	J	2691
4	R	2691
0	J	2691
4	W	2691
0	R	2691
4	J	2713
4	R	2713
0	J	2713
4	W	2713
0	R	2713
4	J	2778
4	R	2778
0	J	2778
4	W	2778
0	R	2778
4	J	2801
4	R	2801
0	J	2801
4	W	2801
0	R	2801
4	J	2802
4	R	2802
0	J	2802
4	W	2803
0	R	2803
4	J	2821
4	R	2821
0	J	2821
4	W	2821
0	R	2822
4	J	2834
4	R	2834
0	J	2834
4	W	2834
0	R	2834
4	J	2870
4	R	2870
0	J	2870
4	W	2870
0	R	2871
4	J	2955
4	R	2955
0	J	2955
4	W	2955
0	R	2955
4	J	2979
4	R	2979
0	J	2979
4	W	2979
0	R	2979
4	J	3026
4	R	3027
0	J	3027
6	N	3029
6	J	3029
4	W	3030
6	R	3030
7	N	3034
7	J	3034
